2026-07-31 17:23:22 | collector.dedup | INFO | Deduplicated: 3 → 1 items
2026-07-31 17:23:22 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 17:40:16 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 17:40:16 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 17:52:35 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 17:52:35 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 17:54:42 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 17:54:42 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 18:28:22 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 18:28:22 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 18:34:51 | curator.classifier | INFO | Curated 20 items into top 10
2026-07-31 18:35:40 | curator.classifier | INFO | Curated 20 items into top 10
2026-07-31 18:46:04 | main | INFO | ==================================================
2026-07-31 18:46:04 | main | INFO | Starting daily briefing: 2026.07.31 Fri
2026-07-31 18:46:04 | main | INFO | Step 1: Collecting news...
2026-07-31 18:46:04 | collector.rss_fetcher | INFO | Fetched 0 items from https://www.jiqizhixin.com/rss
2026-07-31 18:46:05 | collector.rss_fetcher | INFO | Fetched 10 items from https://www.qbitai.com/feed
2026-07-31 18:46:05 | collector.rss_fetcher | INFO | Fetched 30 items from https://36kr.com/feed
2026-07-31 18:46:05 | main | INFO | Step 2: Deduplicating...
2026-07-31 18:46:05 | collector.dedup | INFO | Deduplicated: 40 → 40 items
2026-07-31 18:46:05 | main | INFO | Step 3: Curating and ranking...
2026-07-31 18:46:05 | curator.classifier | INFO | Curated 40 items into top 16
2026-07-31 18:46:05 | main | INFO | Step 4: Generating images...
2026-07-31 18:46:05 | generator.detail_card | INFO | Saved detail image to output/2026-07-31/detail.png
2026-07-31 18:46:05 | generator.highlights_card | INFO | Saved highlights image to output/2026-07-31 Fri/highlights.png
2026-07-31 18:46:05 | main | INFO | Step 5: Publishing...
2026-07-31 18:46:05 | publisher.wechat | INFO | WeChat not configured. Images saved locally.
2026-07-31 18:46:05 | main | INFO | Pipeline complete: {'status': 'success', 'collected': 40, 'unique': 40, 'curated': 16, 'detail_image': 'output/2026-07-31/detail.png', 'highlights_image': 'output/2026-07-31 Fri/highlights.png', 'published': False}
2026-07-31 18:48:12 | publisher.wechat | INFO | WeChat not configured. Images saved locally.
2026-07-31 19:02:56 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 19:02:56 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 19:02:56 | curator.classifier | INFO | Curated 20 items into top 10
2026-07-31 19:02:56 | publisher.wechat | INFO | WeChat not configured. Images saved locally.
2026-07-31 19:05:36 | collector.rss_fetcher | INFO | Fetched 0 items from https://www.jiqizhixin.com/rss
2026-07-31 19:05:36 | collector.rss_fetcher | INFO | Fetched 10 items from https://www.qbitai.com/feed
2026-07-31 19:05:36 | collector.rss_fetcher | INFO | Fetched 30 items from https://36kr.com/feed
2026-07-31 19:05:36 | collector.dedup | INFO | Deduplicated: 40 → 40 items
2026-07-31 19:05:36 | curator.classifier | INFO | Curated 40 items into top 8
2026-07-31 19:06:39 | main | INFO | ==================================================
2026-07-31 19:06:39 | main | INFO | Starting daily briefing: 2026.07.31 Fri
2026-07-31 19:06:39 | main | INFO | Step 1: Collecting news...
2026-07-31 19:06:39 | collector.rss_fetcher | INFO | Fetched 0 items from https://www.jiqizhixin.com/rss
2026-07-31 19:06:39 | collector.rss_fetcher | INFO | Fetched 10 items from https://www.qbitai.com/feed
2026-07-31 19:06:40 | collector.rss_fetcher | INFO | Fetched 30 items from https://36kr.com/feed
2026-07-31 19:06:40 | main | INFO | Step 2: Deduplicating...
2026-07-31 19:06:40 | collector.dedup | INFO | Deduplicated: 40 → 40 items
2026-07-31 19:06:40 | main | INFO | Step 3: Curating and ranking...
2026-07-31 19:06:40 | curator.classifier | INFO | Curated 40 items into top 16
2026-07-31 19:06:40 | main | INFO | Step 4: Generating images...
2026-07-31 19:06:40 | generator.detail_card | INFO | Saved detail image to output/2026-07-31/detail.png
2026-07-31 19:06:40 | generator.highlights_card | INFO | Saved highlights image to output/2026-07-31 Fri/highlights.png
2026-07-31 19:06:40 | main | INFO | Step 5: Publishing...
2026-07-31 19:06:40 | publisher.wechat | INFO | WeChat not configured. Images saved locally.
2026-07-31 19:06:40 | main | INFO | Pipeline complete: {'status': 'success', 'collected': 40, 'unique': 40, 'curated': 16, 'detail_image': 'output/2026-07-31/detail.png', 'highlights_image': 'output/2026-07-31 Fri/highlights.png', 'published': False}
2026-07-31 19:24:28 | curator.classifier | WARNING | LLM API request failed: 401 Client Error: Unauthorized for url: https://api.moonshot.cn/v1/chat/completions
2026-07-31 19:24:28 | curator.classifier | INFO | Using rule-based classification
2026-07-31 19:24:28 | curator.classifier | INFO | Curated 20 items into top 10
2026-07-31 19:24:28 | curator.classifier | WARNING | LLM API request failed: 401 Client Error: Unauthorized for url: https://api.moonshot.cn/v1/chat/completions
2026-07-31 19:24:28 | curator.classifier | INFO | LLM classified 1 items
2026-07-31 19:24:28 | curator.classifier | INFO | LLM classified 1 items
2026-07-31 19:24:54 | collector.dedup | INFO | Deduplicated: 3 → 2 items
2026-07-31 19:24:54 | collector.dedup | INFO | Deduplicated: 3 → 2 items
